"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","recordNumber","stateProvince","previousCatalogNumber","yearIdentified","county","coordinatePrecision","geoFlag","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","sex","preparationType","individualCount","dayIdentified","relatedCatalogItem"
45,"2014-11-03 15:37:54-02","MCN-PUC-MINAS","MCN-M","MCN-M 3106","S","Animalia","Mammalia","Artiodactyla","Cervidae","Blastocerus","dichotomus","Blastocerus dichotomus",NA,NA,2011,12,1,NA,"Brasil",NA,-57.519417,-19.302639,"57W 31' 09.9","19S 18' 09.5","Pele: Não Crânio Pós-crânio",NA,NA,"Chordata",NA,NA,"MS",NA,NA,"Corumbá",NA,NA,NA,NA,NA,NA,"M",NA,NA,NA,NA
46,"2019-12-17 11:12:01-03","UFBA-IMS","HVC","1428","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","A.C.S.Torres; H.I.L.N.Coelho, C.D.Barbosa",2016,9,30,NA,"Brasil","Lajedo da Porangaba. PARNA E REVIS DE BOA NOVA",-40.252222,-14.322222,"40º15'8''w","14º19'20''S","Folhas concolores. Frutos verdes no ápice do caule. Habitat: Caatinga Habito: Arbusto","HVC00001428",NA,NA,NA,"12","Bahia",NA,NA,"Boa Nova",NA,NA,NA,889,889,NA,NA,NA,NA,NA,NA
51,"2019-12-17 11:12:01-03","UFBA-IMS","HVC","1787","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","A.S. Soares; J.V.Carvalho L.J.G. Silva",2017,9,23,NA,"Brasil","Lajedo da Porangaba. PARNA E REVIS DE BOA NOVA",-40.252778,-14.322222,"40º15'10''w","14º19'20''S","Folhas verdes discolores, face abaxial acinzentada. Capítulos com brácteas verdes e corola rosa. Habitat: Caatinga - vegetação de afloramento rochoso, rodeado por mata de cipó. Habito: Arbusto","HVC00001787",NA,NA,NA,"25","Bahia",NA,NA,"Boa Nova",NA,NA,NA,935,935,NA,NA,NA,NA,NA,NA
52,"2019-12-17 11:12:01-03","UFBA-IMS","HVC","2433","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","G. L. Sampaio; C. V. Gonçalves, S. R. L. Braga e N. S. Andrade.",2018,6,2,NA,"Brasil","Lajedo da Porangaba. PARNA E REVIS DE BOA NOVA",-40.249167,-14.318611,"40º14'57''W","14º19'7''S","Folhas discolores, face superior verde e inferior acinzentada. Capítulos jovens com brácteas verdes e pétalas róseas. Habitat: Vegetação de afloramento rochoso, rodeado por mata de cipó. Habito: Arbusto","HVC00002433",NA,NA,NA,"12","Bahia",NA,NA,"Boa Nova",NA,NA,NA,883,883,NA,NA,NA,NA,NA,NA
53,"2019-12-17 11:12:01-03","UFBA-IMS","HVC","2452","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","A. T. T. S. Dourado; J. V. Carvalho e A. B. Costa.",2018,6,2,NA,"Brasil","Lajedo da Porangaba. PARNA E REVIS DE BOA NOVA",-40.2525,-14.3225,"40º15'9''W","14º19'21''S","Caule marrom acinzentado, folhas verdes descolores, face adaxial mais escura. Botões esverdeados, flores com pétalas brancas. Habitat: Vegetação de afloramento rochoso, rodeado por mata de cipó. Habito: Arbusto","HVC00002452",NA,NA,NA,"79","Bahia",NA,NA,"Boa Nova",NA,NA,NA,935,935,NA,NA,NA,NA,NA,NA
55,"2019-12-17 11:12:01-03","UFBA-IMS","HVC","4370","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","A.A.Oliveira",2018,8,19,NA,"Brasil","Sítio do Eldhen. Barro Branco.",-41.413056,-12.528889,"41º24'47''W","12º31'44''S","Folhas discolores. Brácteas verdes-incanas, corola rósea","HVC00004370",NA,NA,"Roque,N.","1","Bahia",NA,NA,"Lençóis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"2019-07-24 15:54:08-03","SMITHSONIAN","US","3114403","PreservedSpecimen","Plantae","Dicotyledonae","Asterales","Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","L. P. de Queiróz & I. Crepaldi",1987,3,27,"South America - Neotropics","Brazil","BR. Bahia, Municipio de Feira de Santana, Campus de UEFS.",-38.97,-12.25,"-38.97","-12.25","<a href=http://n2t.net/ark:/65665/3b5313575-072e-4ade-bdaa-eedba42331c8 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","US01623515","US01623515",NA,NA,"1492","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,"2019-07-24 15:54:08-03","SMITHSONIAN","US","3702521","PreservedSpecimen","Plantae","Dicotyledonae","Asterales","Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","B. Loeuille, M. Lusa & M. Roscamp",2012,5,29,"South America - Neotropics","Brazil","Dom Macedo Costa. Reconcavo Bahiano. Milagres de Santo Antonio. Pastagem.",-39.2018,-12.9031,"-39.2018","-12.9031","<a href=http://n2t.net/ark:/65665/3251cb322-92bf-49ad-a714-063d6d97ac2c target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Loeuille, B.","680","Bahia",NA,NA,NA,NA,NA,NA,193,193,NA,NA,NA,NA,NA,NA
59,"2019-11-13 11:16:11-03","USP","SPF","123949","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Hind, DJN",1996,7,2,NA,"Brasil","Serra do Tombador",-40.6725,-11.086944,"-40.6725","-11.086944",NA,"SPF00123949",NA,NA,"Hind, DJN","PCD3337","Bahia",NA,1996,NA,NA,NA,7,729,729,NA,NA,NA,NA,NA,NA
60,"2019-11-13 11:16:11-03","USP","SPF","123950","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Bautista, HP",1996,7,6,NA,"Brasil",NA,-40.545278,-11.018611,"-40.545278","-11.018611",NA,"SPF00123950",NA,NA,"Hind, DJN","PCD3456","Bahia",NA,1996,"Jacobina",NA,NA,7,632,632,NA,NA,NA,NA,NA,NA
